structure,n,time_per_op_ns,stddev_ns
hash_chain,10000,149.775,0.686932
hash_double,10000,75,25
rbt,10000,62.5,21.6506
t23,10000,125,25.0001
hash_chain,25000,194.99,8.68177
hash_double,25000,60,0
rbt,25000,75,8.68341
t23,25000,120,0.0282843
hash_chain,50000,185.125,4.90849
hash_double,50000,59.995,0.0295804
rbt,50000,75.08,4.95086
t23,50000,125.02,5.02002
hash_chain,100000,192.54,13.4657
hash_double,100000,58.875,2.17645
rbt,100000,81.3025,2.24508
t23,100000,136.282,4.14812
hash_chain,250000,160.519,2.17434
hash_double,250000,80.518,0.855778
rbt,250000,87.023,0.993327
t23,250000,136.534,1.65977
hash_chain,500000,158.516,0.867192
hash_double,500000,83.5095,1.81154
rbt,500000,91.268,0.440148
t23,500000,138.788,1.78683
hash_chain,750000,121.072,0.989583
hash_double,750000,61.0243,0.334828
rbt,750000,94.1843,0.546312
t23,750000,138.723,0.798803
hash_chain,1000000,157.513,0.502254
hash_double,1000000,80.5215,0.49859
rbt,1000000,95.5485,0.347201
t23,1000000,141.538,0.0173115
hash_chain,2500000,137.749,4.35559
hash_double,2500000,67.3057,0.768519
rbt,2500000,98.6901,0.581689
t23,2500000,138.346,1.16632
hash_chain,5000000,128.159,0.780678
hash_double,5000000,66.1445,0.106947
rbt,5000000,100.756,1.11755
t23,5000000,141.323,1.25452
