structure,n,time_per_op_ns,stddev_ns
hash_chain,10000,126.225,25.8706
hash_double,10000,198.425,2.83582
rbt,10000,150.025,0.501871
t23,10000,100,0.0707107
hash_chain,25000,170.19,9.99149
hash_double,25000,55.13,8.73734
rbt,25000,140.08,0.116619
t23,25000,155,8.82265
hash_chain,50000,172.565,4.28153
hash_double,50000,62.61,4.54485
rbt,50000,157.58,4.31891
t23,50000,167.495,4.32725
hash_chain,100000,176.125,2.31096
hash_double,100000,66.27,2.18821
rbt,100000,170.007,6.11761
t23,100000,181.287,4.0473
hash_chain,250000,151.564,3.04257
hash_double,250000,92.69,2.93396
rbt,250000,196.998,4.12276
t23,250000,211.736,4.28426
hash_chain,500000,152.781,2.30961
hash_double,500000,95.979,1.8393
rbt,500000,235.548,3.28963
t23,500000,252.181,2.00352
hash_chain,750000,116.525,1.3683
hash_double,750000,78.2383,1.82765
rbt,750000,275.106,4.98162
t23,750000,293.011,3.74531
hash_chain,1000000,166.007,2.20325
hash_double,1000000,104.474,1.04942
rbt,1000000,313.288,2.92756
t23,1000000,332.493,2.76248
hash_chain,2500000,167.415,0.667788
hash_double,2500000,119.18,1.6967
rbt,2500000,486.925,2.61007
t23,2500000,510.419,3.80887
hash_chain,5000000,210.921,1.61556
hash_double,5000000,138.899,0.39386
rbt,5000000,654.822,9.85482
t23,5000000,692.106,33.088
