structure,n,time_per_op_ns,stddev_ns
hash_chain,10000,12.775,22.1269
hash_double,10000,25,25.0004
rbt,10000,62.3,21.7686
t23,10000,87.5,21.6506
hash_chain,25000,9.99,9.99001
hash_double,25000,14.99,8.6545
rbt,25000,60,0
t23,25000,95,8.6603
hash_chain,50000,10.005,0.0572276
hash_double,50000,19.95,0.0877496
rbt,50000,79.995,0.0165831
t23,50000,107.49,4.30138
hash_chain,100000,15.0075,3.53554
hash_double,100000,19.98,3.50731
rbt,100000,91.56,2.09171
t23,100000,117.707,2.59762
hash_chain,250000,14.947,0.920336
hash_double,250000,18.443,0.899539
rbt,250000,122.721,1.64309
t23,250000,154.026,0.937019
hash_chain,500000,22.3235,0.464516
hash_double,500000,24.5045,3.77194
rbt,500000,191.41,24.2343
t23,500000,225.036,12.9471
hash_chain,750000,30.8153,3.32775
hash_double,750000,31.6693,2.76534
rbt,750000,259.289,19.8664
t23,750000,286.234,14.9027
hash_chain,1000000,40.3543,2.40396
hash_double,1000000,43.7338,4.00226
rbt,1000000,332.828,27.8382
t23,1000000,380.076,9.81989
hash_chain,2500000,61.5031,4.78216
hash_double,2500000,72.7438,2.9729
rbt,2500000,610.519,105.163
t23,2500000,655.693,50.7483
hash_chain,5000000,73.5092,3.22302
hash_double,5000000,102.357,18.737
rbt,5000000,731.158,30.9749
t23,5000000,789.704,29.4019
