structure,n,time_per_op_ns,stddev_ns
hash_chain,10000,25,25
hash_double,10000,12.5,21.6506
rbt,10000,25,25
t23,10000,12.5,21.6506
hash_chain,25000,5,8.66025
hash_double,25000,30.03,10.0301
rbt,25000,15,8.66025
t23,25000,25.01,8.6545
hash_chain,50000,10,0
hash_double,50000,22.495,4.32149
rbt,50000,12.51,4.359
t23,50000,25,5
hash_chain,100000,12.5025,2.51753
hash_double,100000,23.73,2.1709
rbt,100000,15.0125,0.0178536
t23,100000,26.255,2.17372
hash_chain,250000,16.005,1.41563
hash_double,250000,20.508,1.6547
rbt,250000,14.999,0.995025
t23,250000,26.028,0.157251
hash_chain,500000,15.4995,1.4995
hash_double,500000,22.5155,1.50153
rbt,500000,14.7495,0.830214
t23,500000,32.489,0.39671
hash_chain,750000,22.3367,1.37292
hash_double,750000,31.0003,1.00033
rbt,750000,15.5007,0.725721
t23,750000,30.188,0.278493
hash_chain,1000000,15.986,0.477246
hash_double,1000000,23.6163,1.10964
rbt,1000000,16.3755,0.216797
t23,1000000,33.057,0.0555653
hash_chain,2500000,25.7294,0.502812
hash_double,2500000,22.3331,2.02789
rbt,2500000,17.1516,0.295398
t23,2500000,31.4542,0.166527
hash_chain,5000000,30.5265,1.72606
hash_double,5000000,21.9943,0.733359
rbt,5000000,19.4814,0.38181
t23,5000000,36.656,0.112936
