structure,n,time_per_op_ns,stddev_ns
hash_chain,10000,74.35,25.6562
hash_double,10000,75.125,24.8266
rbt,10000,87.475,21.6362
t23,10000,124.975,24.975
hash_chain,25000,100,0
hash_double,25000,55,8.66025
rbt,25000,100,0
t23,25000,140.41,0.369188
hash_chain,50000,102.785,4.24597
hash_double,50000,50,0.034641
rbt,50000,112.85,4.15655
t23,50000,157.725,4.4208
hash_chain,100000,107.422,2.41533
hash_double,100000,55.22,0.240312
rbt,100000,123.787,1.82223
t23,100000,170.29,3.34053
hash_chain,250000,97.778,0.625553
hash_double,250000,76.526,2.19607
rbt,250000,165.967,1.86473
t23,250000,227.142,3.89837
hash_chain,500000,108.898,2.39352
hash_double,500000,77.864,1.13606
rbt,500000,224.532,2.05695
t23,500000,294.309,5.80381
hash_chain,750000,102.788,4.19969
hash_double,750000,64.8763,1.23158
rbt,750000,290.256,3.40508
t23,750000,367.143,3.08026
hash_chain,1000000,137.969,0.950189
hash_double,1000000,88.338,2.36033
rbt,1000000,366.255,5.5043
t23,1000000,430.481,1.99813
hash_chain,2500000,176.876,0.920137
hash_double,2500000,99.517,1.84709
rbt,2500000,598.418,3.00943
t23,2500000,626.251,3.71093
hash_chain,5000000,203.859,0.509781
hash_double,5000000,115.661,0.149851
rbt,5000000,773.173,10.2448
t23,5000000,799.054,13.4591
