structure,n,time_per_op_ns,stddev_ns
hash_chain,10000,25,25
hash_double,10000,12.475,21.6073
rbt,10000,62.525,21.1185
t23,10000,99.95,0.05
hash_chain,25000,20,0.0282843
hash_double,25000,60.07,0.0994987
rbt,25000,75.15,8.74827
t23,25000,119.98,0.184391
hash_chain,50000,20.01,0.01
hash_double,50000,54.515,4.60364
rbt,50000,80,0.0565685
t23,50000,120.06,0
hash_chain,100000,25.0175,0.0861322
hash_double,100000,57.7025,2.21475
rbt,100000,94.8775,3.33756
t23,100000,134.99,6.08292
hash_chain,250000,27.952,1.32922
hash_double,250000,22.5,0.866025
rbt,250000,118.506,2.1845
t23,250000,169.513,1.50215
hash_chain,500000,36.587,1.11846
hash_double,500000,26.257,2.20794
rbt,500000,151.763,2.5608
t23,500000,223.538,5.54671
hash_chain,750000,137.377,1.53426
hash_double,750000,70.8653,1.90211
rbt,750000,193.51,4.26443
t23,750000,272.887,1.80305
hash_chain,1000000,51.792,1.37589
hash_double,1000000,44.1305,1.19322
rbt,1000000,226.566,2.12562
t23,1000000,324.794,2.01283
hash_chain,2500000,65.5124,0.305769
hash_double,2500000,62.3082,0.770319
rbt,2500000,365.639,1.00518
t23,2500000,471.401,2.18393
hash_chain,5000000,75.8439,0.409494
hash_double,5000000,72.621,0.672498
rbt,5000000,495.031,15.4569
t23,5000000,593.877,3.971
