structure,n,time_per_op_ns,stddev_ns
hash_chain,10000,59.46,161.548
hash_double,10000,20.02,98.0776
rbt,10000,9.98,69.86
t23,10000,70.02,173.543
hash_chain,25000,52.4,157.481
hash_double,25000,20,97.9796
rbt,25000,50.18,150.554
t23,25000,53.98,147.359
hash_chain,50000,30,118.743
hash_double,50000,0,0
rbt,50000,30.04,118.902
t23,50000,99.86,200.142
hash_chain,100000,20.36,99.744
hash_double,100000,18.74,92.0093
rbt,100000,30.04,118.903
t23,100000,88.92,189.904
hash_chain,250000,59.46,161.08
hash_double,250000,59.86,162.105
rbt,250000,9.98,69.86
t23,250000,39.98,135.58
hash_chain,500000,30.02,118.823
hash_double,500000,30.04,118.902
rbt,500000,40.22,136.397
t23,500000,30,118.743
hash_chain,750000,48.62,146.098
hash_double,750000,31.36,124.397
rbt,750000,60.02,162.535
t23,750000,59.56,161.317
hash_chain,1000000,8.42,58.94
hash_double,1000000,30.02,118.823
rbt,1000000,69.8,173
t23,1000000,101.66,205.237
hash_chain,2500000,9.76,68.32
hash_double,2500000,9.78,68.46
rbt,2500000,49.94,149.82
t23,2500000,78.7,180.699
hash_chain,5000000,10,70
hash_double,5000000,29.72,117.646
rbt,5000000,50.2,150.607
t23,5000000,99.84,199.682
