structure,n,time_per_op_ns,stddev_ns
hash_chain,10000,21.8,107.176
hash_double,10000,49.98,149.94
rbt,10000,90.26,192.653
t23,10000,81.62,187.145
hash_chain,25000,69.16,171.845
hash_double,25000,19.88,97.3925
rbt,25000,69.42,172.098
t23,25000,140.52,226.059
hash_chain,50000,40.02,135.714
hash_double,50000,10.02,70.14
rbt,50000,101.9,204.524
t23,50000,140.06,224.596
hash_chain,100000,63.18,171.431
hash_double,100000,39.48,133.894
rbt,100000,60.02,162.535
t23,100000,72.84,180.872
hash_chain,250000,40.6,138.163
hash_double,250000,10.18,71.26
rbt,250000,140.12,224.694
t23,250000,70.1,174.523
hash_chain,500000,59.14,161.807
hash_double,500000,50.04,150.12
rbt,500000,73.08,181.528
t23,500000,159.88,233.337
hash_chain,750000,67.86,169.183
hash_double,750000,9.88,69.16
rbt,750000,96.88,194.147
t23,750000,122.8,245.505
hash_chain,1000000,99.86,223.63
hash_double,1000000,50,150
rbt,1000000,50.12,150.361
t23,1000000,79.96,183.216
hash_chain,2500000,78.14,205.608
hash_double,2500000,69.06,173.035
rbt,2500000,99,222.023
t23,2500000,180.68,261.119
hash_chain,5000000,40.12,136.054
hash_double,5000000,28.74,113.989
rbt,5000000,79.52,182.959
t23,5000000,170.86,238.686
