structure,n,time_per_op_ns,stddev_ns
hash_chain,10000,10,70
hash_double,10000,19.98,97.8817
rbt,10000,29.98,118.664
t23,10000,59.7,161.676
hash_chain,25000,0,0
hash_double,25000,10,70
rbt,25000,40.54,137.518
t23,25000,50.66,152.029
hash_chain,50000,32.32,128.507
hash_double,50000,18.82,92.4718
rbt,50000,50.8,153.055
t23,50000,88.78,189.694
hash_chain,100000,20,97.9796
hash_double,100000,11.18,78.26
rbt,100000,39.96,135.511
t23,100000,64.18,174.364
hash_chain,250000,28.8,114.001
hash_double,250000,9.98,69.86
rbt,250000,37.26,126.781
t23,250000,50.84,190.464
hash_chain,500000,59.62,161.466
hash_double,500000,10.02,70.14
rbt,500000,69.18,172.089
t23,500000,119.1,212.311
hash_chain,750000,19.86,97.2942
hash_double,750000,19.98,97.8817
rbt,750000,60.44,163.687
t23,750000,120.22,213.935
hash_chain,1000000,49.9,149.705
hash_double,1000000,40.06,135.851
rbt,1000000,50.02,150.06
t23,1000000,92.46,198.362
hash_chain,2500000,90.1,192.308
hash_double,2500000,42.92,145.942
rbt,2500000,67.84,168.388
t23,2500000,151.22,231.133
hash_chain,5000000,90.08,192.267
hash_double,5000000,101.84,204.069
rbt,5000000,119.3,212.33
t23,5000000,171.48,259.256
