structure,n,time_per_op_ns,stddev_ns
hash_chain,10000,0,0
hash_double,10000,0,0
rbt,10000,0,0
t23,10000,70.28,174.194
hash_chain,25000,0,0
hash_double,25000,0,0
rbt,25000,9.98,69.86
t23,25000,19.92,97.5885
hash_chain,50000,20,97.9798
hash_double,50000,0,0
rbt,50000,10.06,70.42
t23,50000,18.94,93.0579
hash_chain,100000,20.02,98.0776
hash_double,100000,40.66,138.046
rbt,100000,30.04,118.902
t23,100000,39.8,134.973
hash_chain,250000,0,0
hash_double,250000,18.68,91.7506
rbt,250000,10.02,70.14
t23,250000,40,135.647
hash_chain,500000,20,97.9796
hash_double,500000,20,97.9796
rbt,500000,0,0
t23,500000,41.92,142.634
hash_chain,750000,20,97.9796
hash_double,750000,20,97.9796
rbt,750000,0,0
t23,750000,30.1,119.14
hash_chain,1000000,10,70
hash_double,1000000,41.16,139.745
rbt,1000000,30,118.743
t23,1000000,30.1,119.141
hash_chain,2500000,50.02,150.06
hash_double,2500000,31.1,123.22
rbt,2500000,41.92,142.466
t23,2500000,22.28,109.152
hash_chain,5000000,40.06,135.85
hash_double,5000000,0,0
rbt,5000000,10.16,71.12
t23,5000000,40.58,138.319
