scenario,structure,n,time_per_op_ns,stddev_ns
S1_seq_insert,hash_chain,10000,149.775,0.686932
S1_seq_insert,hash_double,10000,75,25
S1_seq_insert,rbt,10000,62.5,21.6506
S1_seq_insert,t23,10000,125,25.0001
S1_seq_insert,hash_chain,25000,194.99,8.68177
S1_seq_insert,hash_double,25000,60,0
S1_seq_insert,rbt,25000,75,8.68341
S1_seq_insert,t23,25000,120,0.0282843
S1_seq_insert,hash_chain,50000,185.125,4.90849
S1_seq_insert,hash_double,50000,59.995,0.0295804
S1_seq_insert,rbt,50000,75.08,4.95086
S1_seq_insert,t23,50000,125.02,5.02002
S1_seq_insert,hash_chain,100000,192.54,13.4657
S1_seq_insert,hash_double,100000,58.875,2.17645
S1_seq_insert,rbt,100000,81.3025,2.24508
S1_seq_insert,t23,100000,136.282,4.14812
S1_seq_insert,hash_chain,250000,160.519,2.17434
S1_seq_insert,hash_double,250000,80.518,0.855778
S1_seq_insert,rbt,250000,87.023,0.993327
S1_seq_insert,t23,250000,136.534,1.65977
S1_seq_insert,hash_chain,500000,158.516,0.867192
S1_seq_insert,hash_double,500000,83.5095,1.81154
S1_seq_insert,rbt,500000,91.268,0.440148
S1_seq_insert,t23,500000,138.788,1.78683
S1_seq_insert,hash_chain,750000,121.072,0.989583
S1_seq_insert,hash_double,750000,61.0243,0.334828
S1_seq_insert,rbt,750000,94.1843,0.546312
S1_seq_insert,t23,750000,138.723,0.798803
S1_seq_insert,hash_chain,1000000,157.513,0.502254
S1_seq_insert,hash_double,1000000,80.5215,0.49859
S1_seq_insert,rbt,1000000,95.5485,0.347201
S1_seq_insert,t23,1000000,141.538,0.0173115
S1_seq_insert,hash_chain,2500000,137.749,4.35559
S1_seq_insert,hash_double,2500000,67.3057,0.768519
S1_seq_insert,rbt,2500000,98.6901,0.581689
S1_seq_insert,t23,2500000,138.346,1.16632
S1_seq_insert,hash_chain,5000000,128.159,0.780678
S1_seq_insert,hash_double,5000000,66.1445,0.106947
S1_seq_insert,rbt,5000000,100.756,1.11755
S1_seq_insert,t23,5000000,141.323,1.25452
S2_rand_insert,hash_chain,10000,126.225,25.8706
S2_rand_insert,hash_double,10000,198.425,2.83582
S2_rand_insert,rbt,10000,150.025,0.501871
S2_rand_insert,t23,10000,100,0.0707107
S2_rand_insert,hash_chain,25000,170.19,9.99149
S2_rand_insert,hash_double,25000,55.13,8.73734
S2_rand_insert,rbt,25000,140.08,0.116619
S2_rand_insert,t23,25000,155,8.82265
S2_rand_insert,hash_chain,50000,172.565,4.28153
S2_rand_insert,hash_double,50000,62.61,4.54485
S2_rand_insert,rbt,50000,157.58,4.31891
S2_rand_insert,t23,50000,167.495,4.32725
S2_rand_insert,hash_chain,100000,176.125,2.31096
S2_rand_insert,hash_double,100000,66.27,2.18821
S2_rand_insert,rbt,100000,170.007,6.11761
S2_rand_insert,t23,100000,181.287,4.0473
S2_rand_insert,hash_chain,250000,151.564,3.04257
S2_rand_insert,hash_double,250000,92.69,2.93396
S2_rand_insert,rbt,250000,196.998,4.12276
S2_rand_insert,t23,250000,211.736,4.28426
S2_rand_insert,hash_chain,500000,152.781,2.30961
S2_rand_insert,hash_double,500000,95.979,1.8393
S2_rand_insert,rbt,500000,235.548,3.28963
S2_rand_insert,t23,500000,252.181,2.00352
S2_rand_insert,hash_chain,750000,116.525,1.3683
S2_rand_insert,hash_double,750000,78.2383,1.82765
S2_rand_insert,rbt,750000,275.106,4.98162
S2_rand_insert,t23,750000,293.011,3.74531
S2_rand_insert,hash_chain,1000000,166.007,2.20325
S2_rand_insert,hash_double,1000000,104.474,1.04942
S2_rand_insert,rbt,1000000,313.288,2.92756
S2_rand_insert,t23,1000000,332.493,2.76248
S2_rand_insert,hash_chain,2500000,167.415,0.667788
S2_rand_insert,hash_double,2500000,119.18,1.6967
S2_rand_insert,rbt,2500000,486.925,2.61007
S2_rand_insert,t23,2500000,510.419,3.80887
S2_rand_insert,hash_chain,5000000,210.921,1.61556
S2_rand_insert,hash_double,5000000,138.899,0.39386
S2_rand_insert,rbt,5000000,654.822,9.85482
S2_rand_insert,t23,5000000,692.106,33.088
S3_search_hit,hash_chain,10000,12.775,22.1269
S3_search_hit,hash_double,10000,25,25.0004
S3_search_hit,rbt,10000,62.3,21.7686
S3_search_hit,t23,10000,87.5,21.6506
S3_search_hit,hash_chain,25000,9.99,9.99001
S3_search_hit,hash_double,25000,14.99,8.6545
S3_search_hit,rbt,25000,60,0
S3_search_hit,t23,25000,95,8.6603
S3_search_hit,hash_chain,50000,10.005,0.0572276
S3_search_hit,hash_double,50000,19.95,0.0877496
S3_search_hit,rbt,50000,79.995,0.0165831
S3_search_hit,t23,50000,107.49,4.30138
S3_search_hit,hash_chain,100000,15.0075,3.53554
S3_search_hit,hash_double,100000,19.98,3.50731
S3_search_hit,rbt,100000,91.56,2.09171
S3_search_hit,t23,100000,117.707,2.59762
S3_search_hit,hash_chain,250000,14.947,0.920336
S3_search_hit,hash_double,250000,18.443,0.899539
S3_search_hit,rbt,250000,122.721,1.64309
S3_search_hit,t23,250000,154.026,0.937019
S3_search_hit,hash_chain,500000,22.3235,0.464516
S3_search_hit,hash_double,500000,24.5045,3.77194
S3_search_hit,rbt,500000,191.41,24.2343
S3_search_hit,t23,500000,225.036,12.9471
S3_search_hit,hash_chain,750000,30.8153,3.32775
S3_search_hit,hash_double,750000,31.6693,2.76534
S3_search_hit,rbt,750000,259.289,19.8664
S3_search_hit,t23,750000,286.234,14.9027
S3_search_hit,hash_chain,1000000,40.3543,2.40396
S3_search_hit,hash_double,1000000,43.7338,4.00226
S3_search_hit,rbt,1000000,332.828,27.8382
S3_search_hit,t23,1000000,380.076,9.81989
S3_search_hit,hash_chain,2500000,61.5031,4.78216
S3_search_hit,hash_double,2500000,72.7438,2.9729
S3_search_hit,rbt,2500000,610.519,105.163
S3_search_hit,t23,2500000,655.693,50.7483
S3_search_hit,hash_chain,5000000,73.5092,3.22302
S3_search_hit,hash_double,5000000,102.357,18.737
S3_search_hit,rbt,5000000,731.158,30.9749
S3_search_hit,t23,5000000,789.704,29.4019
S4_search_miss,hash_chain,10000,25,25
S4_search_miss,hash_double,10000,12.5,21.6506
S4_search_miss,rbt,10000,25,25
S4_search_miss,t23,10000,12.5,21.6506
S4_search_miss,hash_chain,25000,5,8.66025
S4_search_miss,hash_double,25000,30.03,10.0301
S4_search_miss,rbt,25000,15,8.66025
S4_search_miss,t23,25000,25.01,8.6545
S4_search_miss,hash_chain,50000,10,0
S4_search_miss,hash_double,50000,22.495,4.32149
S4_search_miss,rbt,50000,12.51,4.359
S4_search_miss,t23,50000,25,5
S4_search_miss,hash_chain,100000,12.5025,2.51753
S4_search_miss,hash_double,100000,23.73,2.1709
S4_search_miss,rbt,100000,15.0125,0.0178536
S4_search_miss,t23,100000,26.255,2.17372
S4_search_miss,hash_chain,250000,16.005,1.41563
S4_search_miss,hash_double,250000,20.508,1.6547
S4_search_miss,rbt,250000,14.999,0.995025
S4_search_miss,t23,250000,26.028,0.157251
S4_search_miss,hash_chain,500000,15.4995,1.4995
S4_search_miss,hash_double,500000,22.5155,1.50153
S4_search_miss,rbt,500000,14.7495,0.830214
S4_search_miss,t23,500000,32.489,0.39671
S4_search_miss,hash_chain,750000,22.3367,1.37292
S4_search_miss,hash_double,750000,31.0003,1.00033
S4_search_miss,rbt,750000,15.5007,0.725721
S4_search_miss,t23,750000,30.188,0.278493
S4_search_miss,hash_chain,1000000,15.986,0.477246
S4_search_miss,hash_double,1000000,23.6163,1.10964
S4_search_miss,rbt,1000000,16.3755,0.216797
S4_search_miss,t23,1000000,33.057,0.0555653
S4_search_miss,hash_chain,2500000,25.7294,0.502812
S4_search_miss,hash_double,2500000,22.3331,2.02789
S4_search_miss,rbt,2500000,17.1516,0.295398
S4_search_miss,t23,2500000,31.4542,0.166527
S4_search_miss,hash_chain,5000000,30.5265,1.72606
S4_search_miss,hash_double,5000000,21.9943,0.733359
S4_search_miss,rbt,5000000,19.4814,0.38181
S4_search_miss,t23,5000000,36.656,0.112936
S5_delete_all,hash_chain,10000,74.35,25.6562
S5_delete_all,hash_double,10000,75.125,24.8266
S5_delete_all,rbt,10000,87.475,21.6362
S5_delete_all,t23,10000,124.975,24.975
S5_delete_all,hash_chain,25000,100,0
S5_delete_all,hash_double,25000,55,8.66025
S5_delete_all,rbt,25000,100,0
S5_delete_all,t23,25000,140.41,0.369188
S5_delete_all,hash_chain,50000,102.785,4.24597
S5_delete_all,hash_double,50000,50,0.034641
S5_delete_all,rbt,50000,112.85,4.15655
S5_delete_all,t23,50000,157.725,4.4208
S5_delete_all,hash_chain,100000,107.422,2.41533
S5_delete_all,hash_double,100000,55.22,0.240312
S5_delete_all,rbt,100000,123.787,1.82223
S5_delete_all,t23,100000,170.29,3.34053
S5_delete_all,hash_chain,250000,97.778,0.625553
S5_delete_all,hash_double,250000,76.526,2.19607
S5_delete_all,rbt,250000,165.967,1.86473
S5_delete_all,t23,250000,227.142,3.89837
S5_delete_all,hash_chain,500000,108.898,2.39352
S5_delete_all,hash_double,500000,77.864,1.13606
S5_delete_all,rbt,500000,224.532,2.05695
S5_delete_all,t23,500000,294.309,5.80381
S5_delete_all,hash_chain,750000,102.788,4.19969
S5_delete_all,hash_double,750000,64.8763,1.23158
S5_delete_all,rbt,750000,290.256,3.40508
S5_delete_all,t23,750000,367.143,3.08026
S5_delete_all,hash_chain,1000000,137.969,0.950189
S5_delete_all,hash_double,1000000,88.338,2.36033
S5_delete_all,rbt,1000000,366.255,5.5043
S5_delete_all,t23,1000000,430.481,1.99813
S5_delete_all,hash_chain,2500000,176.876,0.920137
